kernel,par,train_score,valid_score,valid_std
multiquadratic,1,6854833.024602525,6802884.68578102,339295.466607142
multiquadratic,5,5968529.49851265,5928753.461187799,429543.05821121647
multiquadratic,10,4348403.216554183,4328521.21724054,215108.1520886566
