dataset,linear,polynomial,hyperbolic_tangent,vovks_real_polynomial,vovks_infinite_polynomial,gaussian,laplacian,rational_quadratic,multiquadratic,inverse_multiquadratic,circular,spherical,wave,power,log,generalized_tstudent,anova,spline,chi_square,histogram_intersection,hellingers
breast_cancer,0.9678/0.8929,0.9458/0.8862,0.956/0.8526,0.9663/0.8963,0.3382/0.6433,0.9708/0.9273,0.9561/0.9349,0.9707/0.9429,0.3015/0.7977,0.9692/0.9308,0.9459/0.9026,0.9605/0.8737,0.9692/0.8841,0.9678/0.9456,0.9546/0.8753,0.962/0.9063,0.978/0.9177,0.9152/0.839,0.319/0.7368,0.9663/0.8689,0/0
yeast,0.5842/0.7805,0.4474/0.8473,0.3227/0.8462,0.5808/0.8816,0.2102/0.8974,0.5923/0.8186,0.5546/0.8282,0.6085/0.803,0.153/0.8983,0.6058/0.8719,0.467/0.8145,0.6065/0.8535,0.5653/0.8122,0.4778/0.8549,0.5802/0.8521,0.5762/0.8922,0.5505/0.8713,0.3132/0.7949,0.2345/0.8251,0.6139/0.8254,0/0
segmentation,0.9/0.7754,0.8381/0.677,0.4333/0.6095,0.9/0.7514,0.0381/0.8218,0.8667/0.7924,0.8476/0.6342,0.8476/0.6667,0.0/1.0,0.8857/0.7349,0.319/0.5232,0.8524/0.6095,0.4667/0.5768,0.8857/0.6951,0.8905/0.7173,0.7714/0.6342,0.9381/0.7607,0.819/0.6342,0.0333/0.8909,0.9333/0.7818,0/0
waveform,0.8694/0.9181,0.8188/0.9366,0.754/0.8761,0.8124/0.9346,0.1384/0.9161,0.8692/0.931,0.8688/0.9531,0.8638/0.9311,0.0162/0.9798,0.8642/0.9299,0.6842/0.9052,0.847/0.9338,0.8694/0.9469,0.8706/0.9456,0.8524/0.9517,0.8602/0.9218,0.8336/0.9725,0.5702/0.8713,0.3902/0.8881,0.8454/0.944,0/0
leaf,0.7441/0.5301,0.6971/0.7055,0.0706/0.7799,0.5882/0.721,0.0147/0.9013,0.6147/0.5766,0.3912/0.5735,0.6088/0.589,0.0059/0.9412,0.6235/0.6792,0.3176/0.5549,0.6265/0.6395,0.5559/0.5817,0.7176/0.7353,0.7206/0.8644,0.4382/0.6815,0.7029/0.71,0.2118/0.4872,0.0059/0.9412,0.7265/0.7814,0/0
