dataset,linear,polynomial,hyperbolic_tangent,vovks_real_polynomial,vovks_infinite_polynomial,gaussian,laplacian,rational_quadratic,multiquadratic,inverse_multiquadratic,circular,spherical,wave,power,log,generalized_tstudent,anova,spline,chi_square,histogram_intersection,hellingers
breast_cancer,0.9707/0.9533,0.937/0.9135,0.9473/0.919,0.9663/0.9132,0.354/0.7834,0.9444/0.9284,0.9663/0.9427,0.9649/0.9188,0.3132/0.8272,0.9707/0.9271,0.9502/0.8764,0.9635/0.9072,0.9678/0.9086,0.9663/0.9261,0.9634/0.9406,0.9575/0.9235,0.9458/0.942,0.9224/0.8813,0.3192/0.816,0.9678/0.9214,-1.0/1.0
yeast,0.5788/0.865,0.5816/0.9004,0.3134/0.9034,0.585/0.8761,0.2116/0.8669,0.595/0.8849,0.6092/0.8689,0.6044/0.8654,0.1496/0.8943,0.6159/0.84,0.4657/0.8656,0.5815/0.8288,0.5587/0.9143,0.5883/0.8728,0.6065/0.8447,0.4757/0.9244,0.6038/0.8861,0.3207/0.8824,0.2312/0.8253,0.6051/0.904,-1.0/1.0
segmentation,0.9095/0.8022,0.8762/0.6951,0.5/0.6762,0.8476/0.7026,0.0333/0.8475,0.819/0.7667,0.7952/0.7381,0.8952/0.7436,0.0048/0.9286,0.8619/0.7296,0.6524/0.6979,0.8571/0.7619,0.9/0.7094,0.9095/0.7754,0.8857/0.7572,0.7857/0.7133,0.9286/0.808,0.8333/0.6429,0.0476/0.7619,0.9238/0.7349,-1.0/1.0
waveform,0.8674/0.9529,0.8188/0.9623,0.7842/0.9503,0.811/0.9587,0.1404/0.9586,0.8294/0.9482,0.8646/0.9449,0.87/0.9387,0.016/0.9852,0.8678/0.9476,0.6766/0.9463,0.8092/0.9602,0.869/0.9446,0.8316/0.9458,0.8512/0.9514,0.8596/0.944,0.846/0.9639,0.5742/0.8755,0.3858/0.9043,0.8452/0.9378,-1.0/1.0
leaf,0.75/0.704,0.6206/0.7588,0.1294/0.7353,0.7382/0.6682,0.0147/0.9013,0.6235/0.7557,0.6853/0.7624,0.5912/0.6954,0.0029/0.9559,0.6853/0.6983,0.3412/0.7522,0.6647/0.5882,0.7412/0.7557,0.7/0.747,0.7088/0.75,0.6294/0.6832,0.6765/0.8389,0.1735/0.7026,0.0029/0.9559,0.7294/0.6595,-1.0/1.0
